Date,SOYBEANS,CORN,SOYBEAN OIL,SOYBEAN MEAL,WHEAT,SUGAR,COFFEE,HRW WHEAT,COTTON
3/1/00,456.5,200.75,15.44,146.4,247.5,6.1,116.5,274.25,51.07
4/1/00,464.25,203.0,15.57,147.9,247.25,5.77,116.25,274.0,50.73
5/1/00,469.25,203.0,15.74,150.7,249.75,5.81,118.6,276.25,51.56
6/1/00,468.0,203.75,15.72,149.1,248.5,5.77,116.85,275.0,52.08
7/1/00,471.5,207.0,15.9,149.1,251.75,5.84,114.15,277.75,53.96
10/1/00,466.25,208.5,15.71,147.7,253.5,5.83,117.55,279.75,53.56
11/1/00,467.0,207.25,15.57,148.8,253.75,5.67,117.8,280.0,54.18
12/1/00,472.5,215.5,15.68,150.9,258.75,5.45,118.95,285.75,53.72
13/1/00,481.75,220.75,16.12,153.8,263.5,5.49,118.55,290.0,54.75
14/1/00,485.5,219.0,16.03,155.0,265.0,5.45,112.55,293.0,55.12
17/1/00,485.5,219.0,16.03,155.0,265.0,5.45,112.55,293.0,55.12
18/1/00,502.25,220.0,16.53,159.4,264.5,5.29,115.75,292.0,54.76
19/1/00,501.0,220.75,16.34,159.3,266.0,5.49,116.7,293.5,57.75
20/1/00,505.5,220.75,16.28,162.0,265.0,5.56,112.0,292.75,57.44
21/1/00,505.25,222.75,16.18,162.3,264.25,5.43,111.2,293.0,56.15
24/1/00,512.0,227.25,16.45,164.1,266.0,5.29,111.9,294.5,56.35
25/1/00,517.0,227.5,16.48,165.3,264.75,5.32,112.85,293.5,57.86
26/1/00,513.25,223.0,16.48,163.5,260.0,5.4,115.15,288.25,57.42
27/1/00,527.0,225.75,17.11,166.8,263.5,5.41,114.6,290.75,57.53
28/1/00,523.5,223.5,17.04,165.4,259.75,5.47,114.7,287.75,57.45
31/1/00,508.0,220.0,16.58,161.0,256.25,5.42,111.1,283.5,57.86
1/2/00,510.0,222.0,16.48,161.8,258.0,5.39,111.65,285.0,57.13
2/2/00,507.5,220.75,16.19,162.1,257.25,5.5,112.25,285.0,57.04
3/2/00,501.0,218.0,15.96,159.7,253.75,5.61,112.95,281.25,56.09
4/2/00,505.5,219.75,15.82,162.7,257.0,5.79,112.9,284.75,56.08
7/2/00,506.5,221.5,15.97,162.1,258.75,5.66,111.7,286.75,56.18
8/2/00,500.25,221.25,15.76,160.5,259.25,5.53,108.55,287.25,55.3
9/2/00,503.75,222.5,15.79,162.4,265.5,5.49,107.7,293.25,55.8
10/2/00,513.0,225.5,15.97,167.0,271.75,5.52,108.75,301.25,57.54
11/2/00,505.25,221.75,15.62,164.2,269.5,5.49,108.8,298.5,56.97
14/2/00,505.0,222.25,15.59,164.5,268.75,5.21,105.0,299.25,57.26
15/2/00,508.75,222.25,15.47,166.3,266.0,5.13,105.8,296.5,55.74
16/2/00,507.5,223.0,15.63,164.9,265.25,4.95,104.95,295.75,55.4
17/2/00,508.0,221.25,15.49,166.8,262.5,5.07,105.35,293.25,55.47
18/2/00,514.5,220.5,15.69,168.6,264.75,5.03,104.3,294.75,57.09
21/2/00,514.5,220.5,15.69,168.6,264.75,5.03,104.3,294.75,57.09
22/2/00,513.0,219.25,15.82,167.6,262.25,5.14,103.2,293.25,58.8
23/2/00,499.75,215.25,15.6,161.9,254.75,5.15,103.6,286.25,58.42
24/2/00,504.5,216.25,15.74,163.7,254.75,5.12,101.75,286.0,58.15
25/2/00,497.0,213.25,15.37,161.3,248.0,4.94,98.8,277.0,56.88
28/2/00,497.75,212.0,15.33,162.7,244.5,4.7,101.65,273.5,57.58
29/2/00,501.25,215.0,15.53,163.5,247.0,4.65,99.9,276.25,56.6
1/3/00,496.5,214.75,15.54,162.4,247.75,5.08,101.15,276.25,59.5
2/3/00,501.5,216.25,15.63,164.9,247.25,4.96,105.1,275.0,58.65
3/3/00,504.0,218.5,16.05,164.9,247.5,5.05,104.35,275.75,59.05
6/3/00,508.25,221.75,16.15,167.1,249.75,5.04,106.3,277.5,59.4
7/3/00,502.25,218.0,16.04,165.0,250.0,5.07,108.4,277.75,59.65
8/3/00,505.5,219.25,16.03,167.0,252.0,5.12,107.4,279.5,60.5
9/3/00,507.0,220.5,15.95,167.3,254.25,5.16,107.2,284.0,61.01
10/3/00,500.0,219.75,15.87,165.8,250.0,5.22,106.1,283.0,63.6
13/3/00,513.25,223.5,16.21,171.6,253.75,5.42,106.0,282.5,63.21
14/3/00,520.0,228.75,16.57,171.9,259.5,5.28,102.55,290.25,63.36
15/3/00,525.0,236.0,16.85,170.0,268.75,5.25,103.0,289.0,63.22
16/3/00,525.5,235.25,16.94,170.0,266.25,5.34,106.35,287.0,62.54
17/3/00,537.5,240.75,17.85,171.8,272.25,5.27,106.1,288.5,62.69
20/3/00,525.75,235.75,17.46,167.7,266.25,5.13,103.1,288.0,61.14
21/3/00,526.75,232.0,17.27,169.4,260.25,5.2,103.75,283.0,61.38
22/3/00,531.0,234.5,17.5,170.4,261.75,5.25,105.8,280.25,59.86
23/3/00,522.0,230.25,17.16,168.3,256.25,5.45,102.1,280.25,59.04
24/3/00,530.75,232.0,17.4,170.1,252.75,5.38,103.15,278.0,58.81
27/3/00,531.5,232.5,17.6,169.2,254.5,5.47,103.15,279.5,59.21
28/3/00,526.5,225.0,17.5,167.7,249.75,5.41,104.5,274.5,59.15
29/3/00,529.0,227.0,17.79,167.7,251.25,5.42,103.9,276.0,57.95
30/3/00,537.5,233.25,17.88,170.8,255.5,5.55,103.5,280.0,57.57
31/3/00,545.5,236.0,18.31,172.2,262.25,5.9,103.7,286.5,58.14
3/4/00,546.5,234.25,18.54,172.2,257.75,5.91,102.1,284.0,58.39
4/4/00,538.5,232.0,18.39,168.5,255.75,5.81,100.1,282.0,57.21
5/4/00,543.0,232.0,18.48,170.6,256.25,6.02,101.8,281.75,56.4
6/4/00,531.0,227.0,17.84,168.2,253.75,5.96,100.85,280.25,55.68
7/4/00,538.75,229.25,17.97,170.9,258.5,5.89,99.6,283.5,56.29
10/4/00,532.0,227.0,17.77,169.3,252.75,5.86,96.65,277.75,55.99
11/4/00,528.0,223.25,17.73,167.8,252.75,5.97,96.55,275.75,54.95
12/4/00,537.5,225.5,17.97,170.9,255.5,6.03,94.2,278.5,55.75
13/4/00,538.25,227.5,18.29,169.8,257.75,6.16,94.7,280.75,56.82
14/4/00,532.5,226.25,18.17,168.1,255.75,6.23,92.65,280.0,56.43
17/4/00,531.5,224.0,18.09,167.8,253.25,6.45,92.8,278.75,56.92
18/4/00,534.0,224.5,18.33,168.2,252.25,6.35,94.05,278.25,57.3
19/4/00,537.5,227.75,18.57,168.7,253.0,6.41,95.7,279.25,56.62
20/4/00,536.25,226.75,18.56,169.2,251.0,6.44,97.75,279.5,56.42
21/4/00,536.25,226.75,18.56,169.2,251.0,6.44,97.75,279.5,56.42
24/4/00,544.0,228.0,18.49,173.4,250.75,6.37,94.25,280.0,56.72
25/4/00,543.0,230.5,18.29,173.8,252.25,6.36,95.6,279.5,56.3
26/4/00,540.25,227.5,18.02,175.1,248.5,6.27,94.75,275.0,56.6
27/4/00,532.5,225.25,17.67,173.8,241.0,6.18,94.85,270.75,56.45
28/4/00,526.5,223.75,17.61,171.7,242.25,6.16,95.3,271.0,55.71
1/5/00,555.0,235.5,18.16,181.6,251.0,6.53,100.3,279.25,56.3
2/5/00,554.25,237.5,18.15,181.2,254.25,6.4,99.1,281.0,57.75
3/5/00,560.75,241.75,18.21,184.1,260.0,6.4,94.45,283.5,56.95
4/5/00,561.0,242.25,18.2,184.8,265.5,6.53,96.85,289.0,56.8
5/5/00,555.0,240.25,17.88,185.1,261.75,6.59,96.85,286.0,58.4
8/5/00,547.25,233.25,17.62,184.4,258.0,6.45,97.15,281.5,58.06
9/5/00,545.25,231.0,17.64,183.5,257.75,6.5,97.45,282.0,59.66
10/5/00,560.0,236.75,17.64,189.7,265.0,6.5,97.25,288.25,61.24
11/5/00,559.0,237.75,17.51,189.6,272.5,6.63,95.9,294.0,60.8
12/5/00,551.5,236.0,17.19,188.1,271.0,6.78,91.8,297.5,62.23
15/5/00,549.75,238.75,17.03,183.1,282.25,6.95,91.25,294.0,62.75
16/5/00,543.75,235.5,17.0,181.7,281.25,7.13,92.25,295.5,62.62
17/5/00,541.25,235.5,17.05,179.7,277.0,7.06,91.8,293.0,62.07
18/5/00,547.75,238.0,17.23,181.6,272.0,7.07,91.5,287.0,62.12
19/5/00,554.5,240.0,17.19,183.6,276.25,7.21,97.95,291.0,61.3
22/5/00,553.0,241.0,17.21,183.8,280.25,7.42,103.3,305.0,63.44
23/5/00,548.75,238.25,17.24,181.8,281.25,7.45,103.7,307.25,63.42
24/5/00,542.25,235.0,17.17,179.1,279.5,7.56,101.85,305.0,62.73
