Date,LIVE CATTLE,LEAN HOGS
3/1/00,69.7,55.975
4/1/00,69.075,55.625
5/1/00,68.975,55.075
6/1/00,70.075,55.175
7/1/00,70.875,55.625
10/1/00,70.775,55.65
11/1/00,70.875,56.025
12/1/00,70.425,54.8
13/1/00,70.6,54.825
14/1/00,70.825,56.15
17/1/00,70.825,56.15
18/1/00,70.7,55.55
19/1/00,70.15,56.0
20/1/00,69.8,56.225
21/1/00,69.825,57.075
24/1/00,69.825,56.525
25/1/00,69.825,56.1
26/1/00,70.0,56.225
27/1/00,69.525,56.1
28/1/00,69.725,57.0
31/1/00,70.15,56.75
1/2/00,70.7,56.575
2/2/00,70.275,56.875
3/2/00,70.725,57.525
4/2/00,70.95,57.75
7/2/00,71.325,57.475
8/2/00,70.825,56.625
9/2/00,70.625,55.625
10/2/00,70.275,55.3
11/2/00,69.925,55.2
14/2/00,69.45,54.975
15/2/00,69.475,56.025
16/2/00,69.425,57.35
17/2/00,69.525,57.05
18/2/00,69.65,57.225
21/2/00,69.65,57.225
22/2/00,68.825,57.65
23/2/00,68.95,56.2
24/2/00,69.875,57.05
25/2/00,70.525,57.65
28/2/00,70.875,58.35
29/2/00,69.75,58.075
1/3/00,71.975,58.0
2/3/00,72.525,58.275
3/3/00,72.975,59.35
6/3/00,72.85,60.15
7/3/00,72.45,59.6
8/3/00,72.325,59.45
9/3/00,72.55,60.75
10/3/00,72.6,62.05
13/3/00,72.45,61.9
14/3/00,72.475,62.25
15/3/00,72.775,62.275
16/3/00,72.125,61.8
17/3/00,71.925,62.675
20/3/00,72.2,63.075
21/3/00,72.45,62.525
22/3/00,73.125,62.525
23/3/00,73.025,62.525
24/3/00,73.025,62.725
27/3/00,73.05,62.675
28/3/00,73.175,62.95
29/3/00,71.675,63.275
30/3/00,71.85,64.15
31/3/00,72.175,64.35
3/4/00,72.125,64.425
4/4/00,71.7,64.075
5/4/00,72.05,63.625
6/4/00,71.875,63.85
7/4/00,72.075,65.1
10/4/00,72.35,66.075
11/4/00,72.85,66.35
12/4/00,73.175,67.725
13/4/00,73.45,68.35
14/4/00,73.675,68.3
17/4/00,73.475,74.35
18/4/00,73.925,75.65
19/4/00,74.15,76.05
20/4/00,73.525,76.7
21/4/00,73.525,76.7
24/4/00,73.925,77.475
25/4/00,74.175,77.35
26/4/00,74.325,77.475
27/4/00,73.975,77.05
28/4/00,74.25,76.65
1/5/00,68.725,76.45
2/5/00,68.9,76.275
3/5/00,68.9,74.275
4/5/00,69.05,74.85
5/5/00,68.625,74.65
8/5/00,68.575,74.175
9/5/00,68.7,73.45
10/5/00,68.425,72.825
11/5/00,68.25,72.75
12/5/00,67.925,72.85
15/5/00,67.925,70.85
16/5/00,68.125,70.9
17/5/00,68.2,71.025
18/5/00,68.2,70.85
19/5/00,68.125,68.85
22/5/00,67.825,68.925
23/5/00,68.25,69.625
24/5/00,67.675,68.025
25/5/00,67.425,68.025
26/5/00,66.925,68.75
29/5/00,66.925,68.75
30/5/00,67.075,67.825
31/5/00,67.775,68.3
1/6/00,68.125,67.375
2/6/00,68.425,68.6
5/6/00,68.825,68.5
6/6/00,68.8,69.025
7/6/00,68.825,68.55
8/6/00,68.625,69.025
9/6/00,68.975,71.025
12/6/00,69.175,70.375
13/6/00,69.075,69.625
14/6/00,69.075,69.25
15/6/00,68.775,67.925
16/6/00,68.6,69.75
19/6/00,68.425,70.325
20/6/00,68.675,70.4
21/6/00,68.5,70.675
22/6/00,68.425,71.175
23/6/00,68.225,72.95
26/6/00,68.325,71.525
27/6/00,68.325,69.85
28/6/00,68.1,70.325
29/6/00,68.075,71.2
30/6/00,67.475,70.6
3/7/00,66.825,70.35
4/7/00,66.825,70.35
5/7/00,67.7,69.8
6/7/00,67.525,71.15
7/7/00,67.4,71.55
10/7/00,67.375,70.45
11/7/00,67.175,68.75
12/7/00,67.05,67.8
13/7/00,66.775,67.675
14/7/00,67.45,68.0
17/7/00,67.6,68.125
18/7/00,68.425,66.25
19/7/00,67.75,64.9
20/7/00,67.95,66.325
21/7/00,67.55,65.975
24/7/00,66.725,66.75
25/7/00,66.55,67.05
26/7/00,66.425,66.775
27/7/00,66.6,68.2
28/7/00,66.45,67.825
31/7/00,66.725,67.25
1/8/00,66.425,65.9
2/8/00,65.975,66.625
3/8/00,66.225,65.675
4/8/00,66.8,66.25
7/8/00,66.6,65.675
8/8/00,66.225,63.675
9/8/00,66.5,62.525
10/8/00,65.875,62.05
11/8/00,66.875,62.35
14/8/00,66.55,62.05
15/8/00,66.5,53.05
16/8/00,66.45,52.425
17/8/00,66.325,53.075
18/8/00,66.7,53.55
21/8/00,67.025,53.55
22/8/00,67.2,52.45
23/8/00,67.5,52.925
24/8/00,67.4,53.3
25/8/00,66.2,53.2
28/8/00,65.7,53.55
29/8/00,65.65,51.575
30/8/00,65.925,52.275
31/8/00,66.225,52.925
1/9/00,66.925,53.025
4/9/00,66.925,53.025
5/9/00,66.675,54.125
6/9/00,66.3,54.275
7/9/00,67.525,53.7
8/9/00,67.3,54.15
11/9/00,67.3,53.375
12/9/00,67.025,54.15
13/9/00,66.95,54.125
14/9/00,67.65,54.425
15/9/00,67.8,54.675
18/9/00,67.975,54.425
19/9/00,67.975,54.575
20/9/00,67.975,55.575
21/9/00,67.9,56.325
22/9/00,68.325,56.425
25/9/00,68.525,56.8
26/9/00,68.675,57.1
27/9/00,68.925,57.55
28/9/00,68.85,57.625
29/9/00,69.075,58.35
2/10/00,69.375,58.9
3/10/00,69.275,58.125
4/10/00,69.075,58.375
5/10/00,69.275,58.675
6/10/00,68.95,57.55
9/10/00,69.325,56.85
10/10/00,69.3,58.15
11/10/00,69.05,58.325
12/10/00,69.0,58.675
13/10/00,68.675,59.2
16/10/00,68.95,52.6
17/10/00,69.6,53.225
18/10/00,69.825,53.3
19/10/00,69.475,51.9
20/10/00,69.825,52.2
23/10/00,70.125,53.15
24/10/00,70.7,53.575
25/10/00,71.1,51.95
26/10/00,70.925,51.475
27/10/00,71.175,51.075
30/10/00,71.5,50.75
31/10/00,72.5,51.175
1/11/00,72.175,51.45
2/11/00,71.725,51.275
3/11/00,72.525,52.575
6/11/00,73.05,53.325
7/11/00,72.35,52.3
8/11/00,72.0,52.2
9/11/00,72.125,52.575
10/11/00,71.725,52.775
13/11/00,71.75,52.725
14/11/00,72.275,54.55
15/11/00,72.125,54.1
16/11/00,72.625,54.025
17/11/00,72.95,54.325
20/11/00,73.225,53.675
21/11/00,72.775,53.85
22/11/00,73.325,54.55
23/11/00,73.325,54.55
24/11/00,72.875,54.8
27/11/00,72.5,54.05
28/11/00,72.825,53.65
29/11/00,72.15,53.875
30/11/00,72.175,54.45
1/12/00,72.425,54.65
4/12/00,73.375,55.275
5/12/00,73.925,54.95
6/12/00,75.075,56.025
7/12/00,75.95,55.8
8/12/00,76.425,56.35
11/12/00,76.475,57.725
12/12/00,76.725,57.875
13/12/00,77.025,58.825
14/12/00,76.7,58.825
15/12/00,77.15,57.85
18/12/00,78.425,58.075
19/12/00,78.0,56.7
20/12/00,78.475,56.25
21/12/00,77.975,55.85
22/12/00,79.0,56.575
26/12/00,78.35,55.975
27/12/00,78.95,55.725
28/12/00,79.35,56.1
29/12/00,80.225,56.825
2/1/01,77.925,57.175
3/1/01,77.325,56.575
4/1/01,76.975,57.2
5/1/01,76.675,57.225
8/1/01,76.175,56.75
9/1/01,77.275,56.75
10/1/01,78.525,56.0
11/1/01,79.775,56.8
12/1/01,79.575,56.7
15/1/01,79.575,56.7
16/1/01,81.075,55.975
17/1/01,80.2,57.375
18/1/01,79.625,56.325
19/1/01,78.625,56.75
22/1/01,79.05,56.675
23/1/01,78.225,55.2
24/1/01,78.5,54.15
25/1/01,78.375,54.9
26/1/01,78.8,55.625
29/1/01,78.775,55.15
30/1/01,77.625,55.05
31/1/01,77.55,54.8
1/2/01,79.05,56.55
2/2/01,79.8,55.925
5/2/01,80.125,55.15
6/2/01,80.75,55.125
7/2/01,79.925,54.425
8/2/01,79.875,54.275
9/2/01,80.525,54.425
12/2/01,80.025,53.5
13/2/01,79.825,52.725
14/2/01,80.05,52.775
15/2/01,80.05,59.225
16/2/01,79.525,59.975
19/2/01,79.525,59.975
20/2/01,79.85,60.875
21/2/01,80.95,61.625
22/2/01,81.75,61.975
23/2/01,82.525,62.125
26/2/01,83.175,62.425
27/2/01,82.975,63.225
28/2/01,82.375,62.8
1/3/01,81.225,63.85
2/3/01,80.375,63.825
5/3/01,81.15,65.575
6/3/01,81.65,65.35
7/3/01,81.45,64.0
8/3/01,80.125,63.15
9/3/01,79.525,63.05
12/3/01,79.425,63.1
13/3/01,79.625,63.65
14/3/01,78.7,64.825
15/3/01,77.975,65.675
16/3/01,78.1,67.55
19/3/01,77.25,65.7
20/3/01,77.9,64.1
21/3/01,77.325,63.925
22/3/01,78.125,64.15
23/3/01,77.25,65.35
26/3/01,77.325,64.85
27/3/01,78.325,66.525
28/3/01,78.325,64.625
29/3/01,78.825,63.875
30/3/01,78.35,64.475
2/4/01,78.775,65.65
3/4/01,79.325,65.575
4/4/01,79.525,66.225
5/4/01,79.85,67.025
6/4/01,79.75,66.075
9/4/01,79.775,65.525
10/4/01,78.525,65.7
11/4/01,77.825,65.6
12/4/01,77.525,65.825
16/4/01,77.525,65.825
17/4/01,76.975,72.775
18/4/01,76.3,71.525
19/4/01,75.325,71.975
20/4/01,75.975,72.425
23/4/01,76.325,72.475
24/4/01,75.75,71.175
25/4/01,75.45,69.175
26/4/01,76.125,69.25
27/4/01,76.85,69.1
30/4/01,77.1,67.575
1/5/01,71.825,68.2
2/5/01,71.575,66.85
3/5/01,70.85,67.075
4/5/01,70.85,67.3
7/5/01,71.1,67.35
8/5/01,71.175,67.5
9/5/01,69.975,66.925
10/5/01,70.275,68.55
11/5/01,70.175,68.55
14/5/01,70.7,68.8
15/5/01,70.575,68.1
16/5/01,70.6,67.3
17/5/01,72.1,68.075
18/5/01,72.1,68.075
21/5/01,73.575,67.5
22/5/01,73.75,66.375
23/5/01,73.55,67.45
24/5/01,73.725,66.95
25/5/01,73.9,66.75
29/5/01,74.475,68.1
30/5/01,74.175,68.975
31/5/01,74.625,68.825
1/6/01,74.725,69.35
4/6/01,74.275,69.7
5/6/01,74.425,69.725
6/6/01,74.275,69.3
7/6/01,73.925,69.525
8/6/01,73.575,70.525
11/6/01,73.45,71.3
12/6/01,73.45,72.1
13/6/01,73.45,72.9
14/6/01,73.0,73.2
15/6/01,73.0,69.75
18/6/01,72.775,69.425
19/6/01,72.925,69.7
20/6/01,72.575,70.0
21/6/01,72.1,70.325
22/6/01,72.375,70.2
25/6/01,72.925,71.825
26/6/01,72.7,72.45
27/6/01,72.875,72.05
28/6/01,73.025,71.75
29/6/01,71.525,72.75
2/7/01,73.9,73.55
3/7/01,73.6,73.025
4/7/01,73.6,73.025
5/7/01,73.05,73.775
6/7/01,73.575,74.55
9/7/01,73.525,74.025
10/7/01,72.7,73.85
11/7/01,73.95,73.075
12/7/01,73.85,71.875
13/7/01,74.375,72.275
16/7/01,74.4,72.55
17/7/01,74.625,68.65
18/7/01,74.775,68.225
19/7/01,74.425,68.775
20/7/01,74.2,68.25
23/7/01,74.625,67.475
24/7/01,74.625,68.05
25/7/01,73.825,69.15
26/7/01,73.25,69.6
27/7/01,72.65,70.05
30/7/01,72.3,70.35
31/7/01,71.875,70.725
1/8/01,71.625,70.75
2/8/01,71.65,70.65
3/8/01,71.375,71.325
6/8/01,71.0,70.975
7/8/01,71.175,71.05
8/8/01,71.525,71.6
9/8/01,70.875,71.175
10/8/01,70.925,71.875
13/8/01,71.225,71.925
14/8/01,71.025,72.1
15/8/01,71.875,61.35
16/8/01,72.225,61.3
17/8/01,72.225,60.925
20/8/01,71.875,60.125
21/8/01,71.55,58.15
22/8/01,71.35,58.775
23/8/01,71.175,58.75
24/8/01,71.0,59.225
27/8/01,70.7,57.325
28/8/01,70.8,57.075
29/8/01,71.35,58.0
30/8/01,70.95,56.825
31/8/01,71.8,58.25
3/9/01,71.8,58.25
4/9/01,73.375,59.625
5/9/01,73.35,60.05
6/9/01,72.375,60.35
7/9/01,72.6,59.85
10/9/01,72.3,60.425
11/9/01,72.3,60.425
12/9/01,72.3,60.425
13/9/01,72.125,61.1
14/9/01,71.325,61.075
17/9/01,71.35,60.55
18/9/01,71.15,60.85
19/9/01,69.65,59.075
20/9/01,69.125,59.675
21/9/01,68.025,59.75
24/9/01,68.05,59.35
25/9/01,66.825,58.075
26/9/01,66.975,57.875
27/9/01,67.025,57.925
28/9/01,66.225,58.6
1/10/01,66.325,60.6
2/10/01,66.275,60.85
3/10/01,66.625,59.975
4/10/01,67.875,60.2
5/10/01,69.375,59.95
8/10/01,69.25,59.2
9/10/01,68.75,58.375
10/10/01,68.7,57.25
11/10/01,68.55,56.875
12/10/01,67.05,56.775
15/10/01,65.7,49.25
16/10/01,67.175,50.225
17/10/01,66.85,50.375
18/10/01,66.75,50.475
19/10/01,66.575,50.05
22/10/01,66.2,49.625
23/10/01,65.925,49.325
24/10/01,65.4,47.7
25/10/01,65.05,47.575
26/10/01,65.675,47.85
29/10/01,65.875,49.65
30/10/01,65.925,49.65
31/10/01,66.225,51.65
1/11/01,68.15,52.1
2/11/01,67.4,52.875
5/11/01,66.425,52.825
6/11/01,65.175,51.025
7/11/01,65.65,50.8
8/11/01,64.75,51.325
9/11/01,63.25,49.325
12/11/01,61.75,47.875
13/11/01,62.775,48.4
14/11/01,63.2,48.675
15/11/01,64.55,49.475
16/11/01,64.95,48.05
19/11/01,66.275,49.2
20/11/01,66.65,49.15
21/11/01,66.95,49.575
22/11/01,66.95,49.575
23/11/01,67.725,50.625
26/11/01,67.425,50.45
27/11/01,67.725,50.1
28/11/01,67.675,50.375
29/11/01,67.875,49.525
30/11/01,67.225,50.325
3/12/01,67.2,49.125
4/12/01,67.05,48.3
5/12/01,67.175,47.025
6/12/01,66.75,47.775
7/12/01,65.95,48.025
10/12/01,65.125,46.125
11/12/01,65.125,45.15
12/12/01,64.55,45.125
13/12/01,63.7,45.7
14/12/01,63.525,45.675
17/12/01,63.475,53.525
18/12/01,64.975,53.325
19/12/01,65.05,52.65
20/12/01,64.325,53.05
21/12/01,65.8,54.65
24/12/01,66.175,55.775
26/12/01,66.325,55.475
27/12/01,66.05,56.125
28/12/01,67.3,56.3
31/12/01,68.175,57.05
2/1/02,70.525,56.575
3/1/02,70.575,55.6
4/1/02,70.075,55.3
7/1/02,70.425,55.3
8/1/02,70.125,54.675
9/1/02,70.75,54.475
10/1/02,70.375,55.9
11/1/02,69.875,55.9
14/1/02,70.675,55.25
15/1/02,71.65,56.225
16/1/02,71.125,56.225
17/1/02,71.075,56.325
18/1/02,71.55,56.3
21/1/02,71.55,56.3
22/1/02,71.175,55.0
23/1/02,71.3,55.275
24/1/02,71.75,56.425
25/1/02,72.425,56.9
28/1/02,72.675,56.35
29/1/02,73.675,56.05
30/1/02,73.925,56.225
31/1/02,73.75,56.25
1/2/02,73.125,56.725
4/2/02,73.9,56.225
5/2/02,73.825,57.0
6/2/02,74.6,55.65
7/2/02,74.4,55.2
8/2/02,74.025,55.6
11/2/02,74.05,54.225
12/2/02,73.825,53.6
13/2/02,73.675,54.125
14/2/02,74.125,54.075
15/2/02,73.7,59.125
18/2/02,73.7,59.125
19/2/02,73.125,59.675
20/2/02,73.475,60.075
21/2/02,72.7,59.2
22/2/02,72.125,59.4
25/2/02,71.25,58.775
26/2/02,70.425,58.65
27/2/02,70.85,59.725
28/2/02,70.375,60.35
1/3/02,74.675,59.875
4/3/02,74.675,59.675
5/3/02,74.2,58.85
6/3/02,75.175,57.975
7/3/02,75.425,58.325
8/3/02,75.875,58.125
11/3/02,75.725,57.6
12/3/02,75.625,57.225
13/3/02,74.5,57.275
14/3/02,73.2,56.05
15/3/02,72.35,54.75
18/3/02,72.15,53.85
19/3/02,71.225,52.55
20/3/02,70.95,52.8
