Date,COPPER,ALUMINIUM,ZINC,NICKEL
3/1/00,,,1237.5,8446.0
4/1/00,0.848,1617.5,1215.0,8314.0
5/1/00,0.8565,1636.5,1209.25,8307.0
6/1/00,0.853,1639.75,1212.0,8252.0
7/1/00,0.854,1652.0,1209.25,8174.0
10/1/00,0.8465,1636.75,1196.75,8130.0
11/1/00,0.8435,1640.75,1185.0,8052.5
12/1/00,0.866,1643.5,1195.75,8191.0
13/1/00,0.8565,1633.75,1194.0,8107.0
14/1/00,0.8625,1653.5,1195.75,8125.0
17/1/00,0.8625,1653.5,1195.75,8125.0
18/1/00,0.866,1734.0,1195.75,8125.0
19/1/00,0.8825,1765.0,1207.25,8388.0
20/1/00,0.873,1756.25,1194.5,8363.0
21/1/00,0.873,1739.5,1190.75,8495.0
24/1/00,0.8565,1724.0,1176.75,8444.0
25/1/00,0.8425,1736.0,1144.5,8446.0
26/1/00,0.8415,1738.0,1135.5,8401.0
27/1/00,0.8445,1730.5,1139.5,8502.0
28/1/00,0.835,1730.5,1137.0,8635.0
31/1/00,0.8495,1736.5,1123.75,8755.0
1/2/00,0.843,1746.5,1108.75,8779.0
2/2/00,0.8225,1720.0,1091.25,8900.0
3/2/00,0.826,1727.0,1104.75,8967.5
4/2/00,0.8275,1720.0,1092.0,9086.0
7/2/00,0.827,1705.5,1085.75,9227.0
8/2/00,0.82,1696.5,1085.0,9059.0
9/2/00,0.822,1705.25,1088.0,9242.0
10/2/00,0.8495,1710.0,1096.0,9647.0
11/2/00,0.845,1704.25,1102.25,9850.0
14/2/00,0.844,1704.25,1102.25,9850.0
15/2/00,0.827,1652.0,1102.25,9850.0
16/2/00,0.828,1629.5,1097.25,9761.0
17/2/00,0.836,1634.25,1103.5,9985.0
18/2/00,0.832,1642.75,1103.25,9921.0
21/2/00,0.832,1624.0,1086.0,10055.0
22/2/00,0.8275,1637.0,1095.5,10260.0
23/2/00,0.839,1642.5,1099.75,10245.0
24/2/00,0.834,1658.25,1103.75,10140.0
25/2/00,0.815,1651.0,1098.75,10145.0
28/2/00,0.781,1597.0,1057.75,9575.0
29/2/00,0.787,1578.0,1073.25,9810.0
1/3/00,0.7915,1613.25,1123.5,10580.0
2/3/00,0.786,1600.0,1121.0,10310.0
3/3/00,0.7915,1595.5,1121.0,10300.0
6/3/00,0.7935,1595.5,1128.5,10420.0
7/3/00,0.784,1583.25,1133.25,10365.0
8/3/00,0.7785,1557.75,1128.5,10325.0
9/3/00,0.7885,1571.25,1144.5,10489.0
10/3/00,0.7815,1580.75,1131.5,10520.0
13/3/00,0.78,1580.75,1131.5,10520.0
14/3/00,0.7935,1610.5,1131.5,10520.0
15/3/00,0.8015,1608.25,1129.75,10040.0
16/3/00,0.8105,1615.0,1135.25,10110.0
17/3/00,0.8055,1621.25,1146.25,10345.0
20/3/00,0.799,1606.5,1135.75,10435.0
21/3/00,0.81,1602.5,1139.75,10195.0
22/3/00,0.809,1579.0,1124.25,10195.0
23/3/00,0.811,1580.0,1116.5,10330.0
24/3/00,0.8045,1577.25,1113.1,10272.0
27/3/00,0.795,1568.5,1098.25,10230.0
28/3/00,0.798,1575.0,1104.25,10165.0
29/3/00,0.8005,1569.0,1094.75,10155.0
30/3/00,0.8075,1561.75,1098.25,10212.0
31/3/00,0.805,1532.5,1111.0,10175.0
3/4/00,0.8025,1516.25,1102.5,10000.0
4/4/00,0.793,1497.25,1084.0,9925.0
5/4/00,0.791,1496.75,1091.0,9945.0
6/4/00,0.7635,1464.25,1087.0,9870.0
7/4/00,0.7685,1467.75,1103.0,9320.0
10/4/00,0.7755,1472.0,1142.0,9540.0
11/4/00,0.78,1483.0,1141.25,9943.0
12/4/00,0.7775,1481.5,1134.0,9870.0
13/4/00,0.77,1464.75,1137.5,9910.0
14/4/00,0.7535,1433.0,1113.0,9575.0
17/4/00,0.7435,1433.0,1113.0,9575.0
18/4/00,0.7645,1436.0,1113.0,9575.0
19/4/00,0.769,1455.0,1151.5,9580.0
20/4/00,0.766,1444.75,1165.25,9540.0
21/4/00,0.766,1447.85,1165.25,9540.0
24/4/00,0.766,1447.85,1165.25,9540.0
25/4/00,0.7895,1469.5,1169.0,9510.0
26/4/00,0.783,1485.0,1171.0,10036.0
27/4/00,0.788,1447.75,1165.5,9927.0
28/4/00,0.79,1468.25,1164.0,10035.0
1/5/00,0.795,1490.5,1168.0,10045.0
2/5/00,0.8175,1482.25,1166.5,10035.0
3/5/00,0.8155,1449.75,1138.5,9915.0
4/5/00,0.82,1451.25,1152.0,9830.0
5/5/00,0.838,1459.75,1154.5,9920.0
8/5/00,0.8335,1448.5,1139.75,9880.0
9/5/00,0.8265,1454.5,1142.75,9965.0
10/5/00,0.8245,1451.25,1153.25,10000.0
11/5/00,0.826,1442.75,1146.5,9892.0
12/5/00,0.84,1452.5,1162.25,10115.0
15/5/00,0.8355,1452.5,1162.25,10115.0
16/5/00,0.846,1516.5,1162.25,10115.0
17/5/00,0.839,1519.0,1177.0,10490.0
18/5/00,0.842,1511.25,1170.5,10600.0
19/5/00,0.84,1507.0,1168.0,10525.0
22/5/00,0.8285,1504.75,1168.75,10418.0
23/5/00,0.831,1502.5,1173.5,10450.0
24/5/00,0.836,1494.75,1176.25,10540.0
25/5/00,0.831,1468.5,1165.75,10440.0
26/5/00,0.8305,1480.5,1156.25,10330.0
29/5/00,0.8305,1480.5,1164.0,10402.5
30/5/00,0.8115,1446.5,1132.0,9170.0
31/5/00,0.8145,1454.5,1125.5,9110.0
1/6/00,0.8115,1456.0,1118.75,9440.0
2/6/00,0.793,1423.75,1111.75,9489.0
5/6/00,0.802,1442.0,1103.0,9325.0
6/6/00,0.8045,1445.5,1101.25,9203.0
7/6/00,0.7945,1429.5,1083.25,8450.0
8/6/00,0.7975,1458.5,1099.5,8670.0
9/6/00,0.798,1472.5,1102.5,8515.0
12/6/00,0.7945,1448.25,1086.75,8110.0
13/6/00,0.8015,1474.5,1102.5,8345.0
14/6/00,0.809,1494.75,1110.0,8185.0
15/6/00,0.818,1554.0,1108.5,8402.0
16/6/00,0.824,1565.75,1130.75,8070.0
19/6/00,0.828,1565.75,1130.75,8070.0
20/6/00,0.813,1547.25,1130.75,8070.0
21/6/00,0.8245,1569.0,1128.5,7810.0
22/6/00,0.8175,1566.0,1138.5,8055.0
23/6/00,0.8105,1553.0,1127.0,7800.0
26/6/00,0.823,1587.5,1143.75,7898.0
27/6/00,0.8175,1565.5,1143.5,7940.0
28/6/00,0.8185,1585.75,1147.5,8038.0
29/6/00,0.808,1567.0,1145.5,8175.0
30/6/00,0.8155,1565.75,1143.5,8282.0
3/7/00,0.8155,1564.5,1137.5,8290.0
4/7/00,0.8155,1561.5,1132.5,8185.0
5/7/00,0.8135,1573.5,1133.0,8370.0
6/7/00,0.8035,1560.0,1122.75,8370.0
7/7/00,0.806,1547.0,1124.5,8380.0
10/7/00,0.8135,1549.5,1116.25,8420.0
11/7/00,0.818,1574.5,1127.75,8490.0
12/7/00,0.824,1575.75,1130.0,8425.0
13/7/00,0.8235,1571.0,1122.75,8403.0
14/7/00,0.823,1570.0,1121.25,8091.5
17/7/00,0.8405,1570.0,1121.25,8091.5
18/7/00,0.841,1601.75,1121.25,8091.5
19/7/00,0.842,1581.75,1151.75,8290.0
20/7/00,0.8435,1583.25,1157.25,8200.0
21/7/00,0.863,1576.5,1153.25,8120.0
24/7/00,0.864,1580.25,1155.5,8245.0
25/7/00,0.866,1575.0,1155.5,8165.0
26/7/00,0.857,1563.0,1149.0,7810.0
27/7/00,0.8675,1556.75,1156.0,7870.0
28/7/00,0.8685,1556.75,1164.25,7685.0
31/7/00,0.8745,1552.5,1158.0,7815.0
1/8/00,0.8735,1550.5,1165.0,7645.0
2/8/00,0.87,1555.25,1157.75,7635.0
3/8/00,0.869,1543.25,1147.75,7507.0
4/8/00,0.873,1546.25,1147.0,7460.0
7/8/00,0.871,1539.75,1150.25,7465.0
8/8/00,0.8615,1522.75,1146.0,7514.0
9/8/00,0.8735,1511.25,1138.75,7440.0
10/8/00,0.8645,1514.25,1153.75,7557.0
11/8/00,0.8595,1519.5,1163.0,7722.0
14/8/00,0.867,1519.5,1163.0,7722.0
15/8/00,0.8705,1544.25,1163.0,7722.0
16/8/00,0.8665,1529.5,1190.25,7950.0
17/8/00,0.869,1539.0,1192.75,7945.0
18/8/00,0.865,1531.75,1189.5,8010.0
21/8/00,0.854,1522.75,1194.0,7955.0
22/8/00,0.8575,1538.5,1203.0,8365.0
23/8/00,0.8565,1532.25,1190.0,8500.0
24/8/00,0.862,1535.75,1192.25,8495.0
25/8/00,0.8625,1524.5,1187.0,8595.0
28/8/00,0.86,1541.5,1193.5,8595.0
29/8/00,0.879,1553.0,1203.0,8735.0
30/8/00,0.885,1574.25,1197.0,8800.0
31/8/00,0.885,1573.75,1193.25,8685.0
1/9/00,0.889,1573.5,1209.5,8520.0
4/9/00,0.889,1578.25,1229.0,8410.0
5/9/00,0.906,1590.0,1223.0,8555.0
6/9/00,0.9015,1621.75,1220.0,8415.0
7/9/00,0.906,1617.25,1226.0,8422.0
8/9/00,0.912,1627.25,1250.0,8710.0
11/9/00,0.913,1615.25,1243.0,8700.0
12/9/00,0.9285,1638.25,1266.0,8770.0
13/9/00,0.9275,1636.25,1250.5,8690.0
14/9/00,0.9255,1625.0,1246.0,8665.0
15/9/00,0.92,1612.75,1220.5,8635.0
18/9/00,0.9185,1612.75,1220.5,8635.0
19/9/00,0.9215,1626.0,1220.5,8635.0
20/9/00,0.9015,1596.25,1148.0,8635.0
21/9/00,0.9255,1598.5,1158.5,8635.0
22/9/00,0.9195,1605.0,1159.0,8635.0
25/9/00,0.927,1612.0,1166.0,8635.0
26/9/00,0.9165,1587.0,1152.5,8635.0
27/9/00,0.9125,1600.25,1149.0,8635.0
28/9/00,0.919,1592.0,1144.0,8635.0
29/9/00,0.9205,1586.0,1150.0,8635.0
2/10/00,0.899,1552.75,1149.0,8635.0
3/10/00,0.9025,1531.0,1148.75,8635.0
4/10/00,0.899,1535.5,1142.25,8635.0
5/10/00,0.911,1543.0,1153.0,8635.0
6/10/00,0.906,1530.25,1141.5,8635.0
