"Date","SOYBEANS","CORN","SOYBEAN.OIL","SOYBEAN.MEAL","WHEAT","SUGAR","COFFEE","HRW.WHEAT","COTTON"
"01/03/2000",456.5,200.75,15.44,146.4,247.5,6.1,116.5,274.25,51.07
"01/04/2000",464.25,203,15.57,147.9,247.25,5.77,116.25,274,50.73
"01/05/2000",469.25,203,15.74,150.7,249.75,5.81,118.6,276.25,51.56
"01/06/2000",468,203.75,15.72,149.1,248.5,5.77,116.85,275,52.08
"01/07/2000",471.5,207,15.9,149.1,251.75,5.84,114.15,277.75,53.96
"01/10/2000",466.25,208.5,15.71,147.7,253.5,5.83,117.55,279.75,53.56
"01/11/2000",467,207.25,15.57,148.8,253.75,5.67,117.8,280,54.18
"01/12/2000",472.5,215.5,15.68,150.9,258.75,5.45,118.95,285.75,53.72
"01/13/2000",481.75,220.75,16.12,153.8,263.5,5.49,118.55,290,54.75
"01/14/2000",485.5,219,16.03,155,265,5.45,112.55,293,55.12
"01/17/2000",485.5,219,16.03,155,265,5.45,112.55,293,55.12
"01/18/2000",502.25,220,16.53,159.4,264.5,5.29,115.75,292,54.76
"01/19/2000",501,220.75,16.34,159.3,266,5.49,116.7,293.5,57.75
"01/20/2000",505.5,220.75,16.28,162,265,5.56,112,292.75,57.44
"01/21/2000",505.25,222.75,16.18,162.3,264.25,5.43,111.2,293,56.15
"01/24/2000",512,227.25,16.45,164.1,266,5.29,111.9,294.5,56.35
"01/25/2000",517,227.5,16.48,165.3,264.75,5.32,112.85,293.5,57.86
"01/26/2000",513.25,223,16.48,163.5,260,5.4,115.15,288.25,57.42
"01/27/2000",527,225.75,17.11,166.8,263.5,5.41,114.6,290.75,57.53
"01/28/2000",523.5,223.5,17.04,165.4,259.75,5.47,114.7,287.75,57.45
"01/31/2000",508,220,16.58,161,256.25,5.42,111.1,283.5,57.86
"02/01/2000",510,222,16.48,161.8,258,5.39,111.65,285,57.13
"02/02/2000",507.5,220.75,16.19,162.1,257.25,5.5,112.25,285,57.04
"02/03/2000",501,218,15.96,159.7,253.75,5.61,112.95,281.25,56.09
"02/04/2000",505.5,219.75,15.82,162.7,257,5.79,112.9,284.75,56.08
"02/07/2000",506.5,221.5,15.97,162.1,258.75,5.66,111.7,286.75,56.18
"02/08/2000",500.25,221.25,15.76,160.5,259.25,5.53,108.55,287.25,55.3
"02/09/2000",503.75,222.5,15.79,162.4,265.5,5.49,107.7,293.25,55.8
"02/10/2000",513,225.5,15.97,167,271.75,5.52,108.75,301.25,57.54
"02/11/2000",505.25,221.75,15.62,164.2,269.5,5.49,108.8,298.5,56.97
"02/14/2000",505,222.25,15.59,164.5,268.75,5.21,105,299.25,57.26
"02/15/2000",508.75,222.25,15.47,166.3,266,5.13,105.8,296.5,55.74
"02/16/2000",507.5,223,15.63,164.9,265.25,4.95,104.95,295.75,55.4
"02/17/2000",508,221.25,15.49,166.8,262.5,5.07,105.35,293.25,55.47
"02/18/2000",514.5,220.5,15.69,168.6,264.75,5.03,104.3,294.75,57.09
"02/21/2000",514.5,220.5,15.69,168.6,264.75,5.03,104.3,294.75,57.09
"02/22/2000",513,219.25,15.82,167.6,262.25,5.14,103.2,293.25,58.8
"02/23/2000",499.75,215.25,15.6,161.9,254.75,5.15,103.6,286.25,58.42
"02/24/2000",504.5,216.25,15.74,163.7,254.75,5.12,101.75,286,58.15
"02/25/2000",497,213.25,15.37,161.3,248,4.94,98.8,277,56.88
"02/28/2000",497.75,212,15.33,162.7,244.5,4.7,101.65,273.5,57.58
"02/29/2000",501.25,215,15.53,163.5,247,4.65,99.9,276.25,56.6
"03/01/2000",496.5,214.75,15.54,162.4,247.75,5.08,101.15,276.25,59.5
"03/02/2000",501.5,216.25,15.63,164.9,247.25,4.96,105.1,275,58.65
"03/03/2000",504,218.5,16.05,164.9,247.5,5.05,104.35,275.75,59.05
"03/06/2000",508.25,221.75,16.15,167.1,249.75,5.04,106.3,277.5,59.4
"03/07/2000",502.25,218,16.04,165,250,5.07,108.4,277.75,59.65
"03/08/2000",505.5,219.25,16.03,167,252,5.12,107.4,279.5,60.5
"03/09/2000",507,220.5,15.95,167.3,254.25,5.16,107.2,284,61.01
"03/10/2000",500,219.75,15.87,165.8,250,5.22,106.1,283,63.6
"03/13/2000",513.25,223.5,16.21,171.6,253.75,5.42,106,282.5,63.21
"03/14/2000",520,228.75,16.57,171.9,259.5,5.28,102.55,290.25,63.36
"03/15/2000",525,236,16.85,170,268.75,5.25,103,289,63.22
"03/16/2000",525.5,235.25,16.94,170,266.25,5.34,106.35,287,62.54
"03/17/2000",537.5,240.75,17.85,171.8,272.25,5.27,106.1,288.5,62.69
"03/20/2000",525.75,235.75,17.46,167.7,266.25,5.13,103.1,288,61.14
"03/21/2000",526.75,232,17.27,169.4,260.25,5.2,103.75,283,61.38
"03/22/2000",531,234.5,17.5,170.4,261.75,5.25,105.8,280.25,59.86
"03/23/2000",522,230.25,17.16,168.3,256.25,5.45,102.1,280.25,59.04
"03/24/2000",530.75,232,17.4,170.1,252.75,5.38,103.15,278,58.81
