"Date","LIVE.CATTLE","LEAN.HOGS"
"01/03/2000",69.7,55.975
"01/04/2000",69.075,55.625
"01/05/2000",68.975,55.075
"01/06/2000",70.075,55.175
"01/07/2000",70.875,55.625
"01/10/2000",70.775,55.65
"01/11/2000",70.875,56.025
"01/12/2000",70.425,54.8
"01/13/2000",70.6,54.825
"01/14/2000",70.825,56.15
"01/17/2000",70.825,56.15
"01/18/2000",70.7,55.55
"01/19/2000",70.15,56
"01/20/2000",69.8,56.225
"01/21/2000",69.825,57.075
"01/24/2000",69.825,56.525
"01/25/2000",69.825,56.1
"01/26/2000",70,56.225
"01/27/2000",69.525,56.1
"01/28/2000",69.725,57
"01/31/2000",70.15,56.75
"02/01/2000",70.7,56.575
"02/02/2000",70.275,56.875
"02/03/2000",70.725,57.525
"02/04/2000",70.95,57.75
"02/07/2000",71.325,57.475
"02/08/2000",70.825,56.625
"02/09/2000",70.625,55.625
"02/10/2000",70.275,55.3
"02/11/2000",69.925,55.2
"02/14/2000",69.45,54.975
"02/15/2000",69.475,56.025
"02/16/2000",69.425,57.35
"02/17/2000",69.525,57.05
"02/18/2000",69.65,57.225
"02/21/2000",69.65,57.225
"02/22/2000",68.825,57.65
"02/23/2000",68.95,56.2
"02/24/2000",69.875,57.05
"02/25/2000",70.525,57.65
"02/28/2000",70.875,58.35
"02/29/2000",69.75,58.075
"03/01/2000",71.975,58
"03/02/2000",72.525,58.275
"03/03/2000",72.975,59.35
"03/06/2000",72.85,60.15
"03/07/2000",72.45,59.6
"03/08/2000",72.325,59.45
"03/09/2000",72.55,60.75
"03/10/2000",72.6,62.05
"03/13/2000",72.45,61.9
"03/14/2000",72.475,62.25
"03/15/2000",72.775,62.275
"03/16/2000",72.125,61.8
"03/17/2000",71.925,62.675
"03/20/2000",72.2,63.075
"03/21/2000",72.45,62.525
"03/22/2000",73.125,62.525
"03/23/2000",73.025,62.525
"03/24/2000",73.025,62.725
"03/27/2000",73.05,62.675
"03/28/2000",73.175,62.95
"03/29/2000",71.675,63.275
"03/30/2000",71.85,64.15
"03/31/2000",72.175,64.35
"04/03/2000",72.125,64.425
"04/04/2000",71.7,64.075
"04/05/2000",72.05,63.625
"04/06/2000",71.875,63.85
"04/07/2000",72.075,65.1
"04/10/2000",72.35,66.075
"04/11/2000",72.85,66.35
"04/12/2000",73.175,67.725
"04/13/2000",73.45,68.35
"04/14/2000",73.675,68.3
"04/17/2000",73.475,74.35
"04/18/2000",73.925,75.65
"04/19/2000",74.15,76.05
